,Volver a extraer 1895,1910,1925,1940,1955,1970,1985,2000,2015
Aruba,0,0,0,0,0,0,0,0,0
Afghanistan,0.02097536,0.036504995,0.033003788,0.029478638,0.024724896,0.021163604,0.02097536,0.020945932,0.020719649
Angola,0.020187248,0.021780801,0.021615506,0.020963992,0.018587698,0.018823476,0.020187248,0.021869784,0.023803808
Anguilla,0,0,0,0,0,0,0,0,0
Albania,0.358932683,0.328877969,0.337749096,0.342790753,0.31925004,0.307400958,0.358932683,0.369716613,0.362539405
Aland,0,0,0,0,0,0,0,0,0
Andorra,0.300599682,0.327779543,0.324633312,0.316694212,0.306096566,0.298997772,0.300599682,0.311342227,0.315636623
United Arab Emirates,0,0,0,0,0,0,0,0,0
Argentina,0.008515745,0.002371407,0.003333493,0.00456955,0.005953717,0.007097197,0.008515745,0.016346521,0.019870429
Armenia,0.118475994,0.170291095,0.170361471,0.153113081,0.140321524,0.120983205,0.118475994,0.115948189,0.087100316
American Samoa,0,0,0,0,0,0,0,0,0
Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashmore and Cartier Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Australia,0.003716083,0.000605917,0.000874661,0.001245539,0.001628938,0.002225305,0.003716083,0.006039725,0.009636467
Austria,0.420867017,0.298494353,0.326311957,0.360099295,0.382936152,0.397437253,0.420867017,0.434524131,0.452360473
Azerbaijan,0.055531654,0.054290423,0.052281169,0.050511417,0.055531893,0.056897537,0.055531654,0.053895691,0.052651697
Burundi,0.073962318,0.100839866,0.101769309,0.107570357,0.137860007,0.118030195,0.073962318,0.112775093,0.081358281
Belgium,0.16294969,0.064532231,0.067493789,0.070937003,0.135164469,0.156002613,0.16294969,0.158768277,0.160153755
Benin,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0
Bangladesh,0.255444178,0.335833621,0.335360478,0.300675945,0.278889988,0.26572163,0.255444178,0.280454411,0.296591421
Bulgaria,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
The Bahamas,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0.285129614,0.34797979,0.347127037,0.331735025,0.287895817,0.271447057,0.285129614,0.388933835,0.393707987
Bajo Nuevo Bank (Petrel Is.),NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,0.100701634,0.100435233,0.098938509,0.096289647,0.097624752,0.099789513,0.100701634,0.103490943,0.107391828
Belize,0.027863659,0.013376097,0.014386691,0.016660929,0.020009604,0.023012153,0.027863659,0.048338576,0.080642146
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,0.022134995,0.016367208,0.014696498,0.014150415,0.024244881,0.023163926,0.022134995,0.022322275,0.024953611
Brazil,0.03925485,0.005153412,0.007900307,0.011623718,0.015361434,0.024723365,0.03925485,0.050622702,0.057817753
Barbados,0,0,0,0,0,0,0,0,0
Brunei,0.088009194,0.014366462,0.020638159,0.028917558,0.038232287,0.050811182,0.088009194,0.125399048,0.148621732
Bhutan,0.341575352,0.091843786,0.099078663,0.117904629,0.160060274,0.242198479,0.341575352,0.409800197,0.510004153
Botswana,0,0,0,0,0,0,0,0,0
Central African Republic,0.022199682,0.010816992,0.011351778,0.012859069,0.018111637,0.019968439,0.022199682,0.025057178,0.030414421
Canada,0.036142099,0.004592526,0.009150282,0.014446132,0.019936764,0.026537584,0.036142099,0.04808237,0.061535448
Switzerland,0.453668836,0.061778274,0.150475218,0.276109047,0.37910461,0.417658604,0.453668836,0.544437981,0.563031348
Chile,0.056383504,0.020407164,0.030994733,0.040763369,0.046347478,0.048354231,0.056383504,0.08171324,0.110817808
China,0.133416423,0.12900333,0.12868978,0.132734143,0.13744266,0.138971731,0.133416423,0.136380812,0.146852147
Ivory Coast,0.059962342,0.025986184,0.026012947,0.0275937,0.03461679,0.04671827,0.059962342,0.065763117,0.068160219
Clipperton Island,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,0.133641195,0.058403639,0.059542364,0.063260476,0.089756853,0.123703301,0.133641195,0.144682639,0.151598156
Cyprus No Mans Area,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0.092371384,0.069005698,0.070052926,0.071851855,0.078275765,0.08644512,0.092371384,0.10072105,0.115020024
Republic of Congo,0.022167357,0.014529808,0.0145571,0.014979028,0.016905969,0.018964286,0.022167357,0.025710956,0.030478492
Cook Islands,0,0,0,0,0,0,0,0,0
Colombia,0.074000852,0.102963917,0.098123432,0.093998049,0.086864945,0.07814382,0.074000852,0.079700386,0.108265393
Comoros,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0
Costa Rica,0.17527395,0.180519266,0.188533434,0.199550649,0.232220206,0.204126823,0.17527395,0.293885419,0.311719374
Coral Sea Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,0.030079757,0.014464184,0.018223273,0.023532394,0.027567313,0.028539516,0.030079757,0.038353674,0.045055221
Curaçao,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0
Northern Cyprus,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czech Republic,0.107974964,0.037400765,0.041449235,0.068112237,0.096274822,0.10147269,0.107974964,0.111223169,0.11420097
Germany,0.083947575,0.036067086,0.037653949,0.033287207,0.057683017,0.079485414,0.083947575,0.089541473,0.093033866
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Denmark,0.098645003,0.104009079,0.050374515,0.01062524,0.040843132,0.089705199,0.098645003,0.114468292,0.113360134
Dominican Republic,0.028720606,0.02276965,0.023855005,0.0254332,0.02414272,0.024468591,0.028720606,0.043861559,0.058025671
Algeria,0,0,0,0,0,0,0,0,0
Ecuador,0.102666444,0.087074608,0.092843734,0.105542477,0.111340718,0.113609664,0.102666444,0.103451657,0.131169678
Egypt,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Dhekelia Sovereign Base Area,0,0,0,0,0,0,0,0,0
Spain,0.113628527,0.127177457,0.121977529,0.11387058,0.109204792,0.110241405,0.113628527,0.116147089,0.126546251
Estonia,0.183372456,0.048105234,0.053297918,0.065751348,0.123688356,0.182458824,0.183372456,0.190201579,0.195255759
Ethiopia,0.08131196,0.033244125,0.035019604,0.038394797,0.045771568,0.055658217,0.08131196,0.124361469,0.094726993
Finland,0.474519046,0.318575157,0.430674726,0.46632075,0.468759722,0.472090723,0.474519046,0.478319923,0.478494958
Fiji,0.020079989,0.015080228,0.015394434,0.01566233,0.01599961,0.018401354,0.020079989,0.025081425,0.036910205
Falkland Islands,0,0,0,0,0,0,0,0,0
France,0.163108579,0.105683335,0.133721758,0.143714733,0.150180692,0.156284169,0.163108579,0.16952674,0.175470177
Faroe Islands,0,0,0,0,0,0,0,0,0
Federated States of Micronesia,0,0,0,0,0,0,0,0,0
Gabon,0.024589802,0.009403418,0.009578256,0.010185083,0.012018811,0.01717064,0.024589802,0.028388231,0.034894858
United Kingdom,0.139553549,0.049178711,0.05639245,0.077547273,0.093117132,0.12923867,0.139553549,0.163589416,0.170227042
Georgia,0.521201847,0.122842446,0.12275849,0.070472911,0.365416952,0.526836945,0.521201847,0.514260088,0.582480303
Guernsey,0,0,0,0,0,0,0,0,0
Ghana,0.005767303,0.00605892,0.006020918,0.005964765,0.005725812,0.005654128,0.005767303,0.005648234,0.005622395
Gibraltar,0,0,0,0,0,0,0,0,0
Guinea,0.132910199,0.040610301,0.040881658,0.043074511,0.051325559,0.093513015,0.132910199,0.171620297,0.176886893
Gambia,0,0,0,0,0,0,0,0,0
Guinea Bissau,0.034459443,0.008105894,0.008578081,0.010258985,0.016610662,0.021736659,0.034459443,0.051172064,0.079242746
Equatorial Guinea,0.163787868,0.132349532,0.133297141,0.135893471,0.142761599,0.156789554,0.163787868,0.174304585,0.207882048
Greece,0.030401846,0.042673453,0.040312415,0.036036461,0.03340958,0.030682485,0.030401846,0.032227246,0.033638499
Grenada,0,0,0,0,0,0,0,0,0
Greenland,6.72786129226187e-06,9.74089160002397e-06,9.60997562633758e-06,9.36658552165007e-06,8.87772448769022e-06,7.56504614819802e-06,6.72786129226187e-06,6.03440514037695e-06,6.81494923686762e-06
Guatemala,0.3154148,0.248561076,0.256425855,0.272273914,0.319763409,0.331120721,0.3154148,0.287087338,0.345635031
Guam,0,0,0,0,0,0,0,0,0
Guyana,0.022588851,0.015004022,0.015797272,0.016341675,0.017377568,0.019841388,0.022588851,0.025529822,0.029322274
Hong Kong S.A.R.,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0
Honduras,0.288721432,0.214114764,0.218407652,0.232316277,0.250099066,0.271059381,0.288721432,0.336313633,0.350010029
Croatia,0.419043662,0.334130383,0.348610641,0.362913115,0.383611293,0.407099419,0.419043662,0.453645588,0.443846339
Haiti,0.138191848,0.08783761,0.09613146,0.101384688,0.095016278,0.097842261,0.138191848,0.150780001,0.157288148
Hungary,0.042657293,0.04129151,0.040836363,0.038818632,0.038307777,0.039876449,0.042657293,0.048208117,0.056881459
Indonesia,0.236824317,0.112813392,0.127079462,0.141292022,0.162399011,0.202697104,0.236824317,0.257408697,0.254616262
Isle of Man,0,0,0,0,0,0,0,0,0
India,0.108542473,0.070783952,0.073637931,0.076296619,0.081660282,0.092365539,0.108542473,0.112719885,0.11288104
Indian Ocean Territories,0,0,0,0,0,0,0,0,0
British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,0.140877896,0.106984969,0.13510239,0.218531759,0.154757022,0.142619721,0.140877896,0.285634604,0.250113937
Iran,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0
Iceland,0.158175665,0.193997073,0.185786162,0.176729793,0.165852288,0.157900623,0.158175665,0.194447237,0.191705687
Israel,0,0,0,0,0,0,0,0,0
Italy,0.186120063,0.168964529,0.147604187,0.136474948,0.140440913,0.150162588,0.186120063,0.202554859,0.224655186
Jamaica,0.147570906,0.158170894,0.159510692,0.151169707,0.130087912,0.128510134,0.147570906,0.169301023,0.199437856
Jersey,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0
Japan,0.621666365,0.459826032,0.472996171,0.486827893,0.532432846,0.593920262,0.621666365,0.641671644,0.663329853
Baykonur Cosmodrome,0,0,0,0,0,0,0,0,0
Siachen Glacier,0.112549424,0.114226997,0.114056192,0.113391988,0.112772338,0.112576082,0.112549424,0.11249771,0.112385407
Kazakhstan,0.003712858,0.006917199,0.006717824,0.005644778,0.00506739,0.003883354,0.003712858,0.003403244,0.003210689
Kenya,0.026289736,0.012639921,0.012792344,0.013556589,0.018290309,0.025694124,0.026289736,0.022965911,0.018341406
Kyrgyzstan,0.06243622,0.070175474,0.071589404,0.073420393,0.069317614,0.064880133,0.06243622,0.055858406,0.05653879
Cambodia,0.173785467,0.025916156,0.029286537,0.043246468,0.080127518,0.125017408,0.173785467,0.183780103,0.188886109
Kiribati,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0
South Korea,0.478564957,0.301122265,0.315209349,0.339736217,0.399793387,0.459863281,0.478564957,0.503681385,0.538500806
Kosovo,0.131403319,0.235573602,0.1989223,0.158324041,0.116883954,0.111190114,0.131403319,0.256712245,0.266610397
Kuwait,0,0,0,0,0,0,0,0,0
Laos,0.118867156,0.046387075,0.05030838,0.061963488,0.077806896,0.102026165,0.118867156,0.135285424,0.167873192
Lebanon,0,0,0,0,0,0,0,0,0
Liberia,0.176723947,0.118570403,0.122094245,0.130542195,0.154180359,0.167487379,0.176723947,0.191784958,0.205874955
Libya,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0
Liechtenstein,0.484038621,0.195083643,0.230570972,0.309845626,0.41566216,0.457325627,0.484038621,0.534964959,0.560204605
Sri Lanka,0.18189115,0.07717628,0.080373149,0.086762632,0.106951927,0.137249048,0.18189115,0.23721694,0.251336755
Lesotho,0.082553308,0.034043611,0.029106692,0.019698663,0.030303956,0.065073647,0.082553308,0.079760695,0.083341795
Lithuania,0.140351856,0.029793197,0.030588564,0.030735369,0.07368987,0.139131437,0.140351856,0.151319615,0.172133015
Luxembourg,0.479958862,0.247285286,0.259527015,0.283189537,0.394760334,0.433759254,0.479958862,0.430079836,0.401610982
Latvia,0.152936802,0.133596246,0.135970795,0.140318241,0.147872082,0.151324992,0.152936802,0.155622003,0.152380313
Macao S.A.R,0,0,0,0,0,0,0,0,0
Saint Martin,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0
Monaco,0.471194824,0.439887136,0.470232729,0.475158434,0.477226242,0.471625056,0.471194824,0.474119326,0.472709773
Moldova,0,0,0,0,0,0,0,0,0
Madagascar,0.07977056,0.039860545,0.044111287,0.052300441,0.070205197,0.074577034,0.07977056,0.077329563,0.077901582
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,0.032814004,0.021638689,0.025113674,0.027104054,0.026335265,0.02918218,0.032814004,0.036588198,0.046172403
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macedonia,0.086067428,0.086641029,0.089199498,0.089564585,0.083120472,0.081093169,0.086067428,0.10778785,0.105669514
Mali,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0
Myanmar,0.246006759,0.184059897,0.207741978,0.210275105,0.221767677,0.223913698,0.246006759,0.264125904,0.275561496
Montenegro,0.328202157,0.461155474,0.424285009,0.371520622,0.306380716,0.297771715,0.328202157,0.512001969,0.530655841
Mongolia,0.035932238,0.018290139,0.023511792,0.029821773,0.028318008,0.017771145,0.035932238,0.032381577,0.08604565
Northern Mariana Islands,0,0,0,0,0,0,0,0,0
Mozambique,0.020276825,0.004352362,0.004998004,0.006181718,0.009491062,0.013620345,0.020276825,0.024067127,0.022721974
Mauritania,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0
Malawi,0.011345326,0.008080187,0.008979704,0.010574851,0.013363862,0.012028794,0.011345326,0.009966947,0.007713761
Malaysia,0.135651054,0.031058338,0.050972313,0.06186641,0.080404803,0.101723342,0.135651054,0.178577799,0.21438884
Namibia,0,0,0,0,0,0,0,0,0
New Caledonia,0.00664828,0.000335371,0.000492556,0.000688616,0.000935374,0.001299171,0.00664828,0.014207525,0.044030078
Niger,0,0,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0,0,0
Nigeria,0.064253291,0.042101078,0.042984942,0.044502178,0.043990055,0.053104916,0.064253291,0.074826447,0.064806359
Nicaragua,0.279048912,0.131224857,0.154458857,0.196163185,0.25131211,0.270661038,0.279048912,0.268158572,0.300006271
Niue,0,0,0,0,0,0,0,0,0
Netherlands,0.050724132,0.039815665,0.036596708,0.03716928,0.039090764,0.043969246,0.050724132,0.051706082,0.045718864
Norway,0.305397028,0.216777267,0.238186655,0.258786758,0.2766712,0.293142377,0.305397028,0.316964266,0.329438733
Nepal,0.179078331,0.067437761,0.074848577,0.087245313,0.103448776,0.134401006,0.179078331,0.23862463,0.321480041
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,0.035707804,0.006196771,0.007599526,0.009766887,0.011726555,0.018659293,0.035707804,0.085322447,0.246097773
Oman,0,0,0,0,0,0,0,0,0
Pakistan,0.019839607,0.023633076,0.023204685,0.022664115,0.020933019,0.020207185,0.019839607,0.019498811,0.019223907
Panama,0.060119663,0.041433965,0.04744978,0.056274263,0.060035264,0.061183081,0.060119663,0.058495917,0.059837351
Pitcairn Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peru,0.036589592,0.029789283,0.030493213,0.030744337,0.031175586,0.033158895,0.036589592,0.039275567,0.041947673
Spratly Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,0.27109128,0.178173002,0.205320907,0.22100543,0.234681652,0.260386261,0.27109128,0.286961062,0.27366675
Palau,0,0,0,0,0,0,0,0,0
Papua New Guinea,0.093859762,0.083627211,0.083918518,0.084961654,0.087542084,0.090134339,0.093859762,0.099732668,0.10727615
Poland,0.018858679,0.009605626,0.013319613,0.013192689,0.018178683,0.018257394,0.018858679,0.01941437,0.024439711
Puerto Rico,0.06309784,0.006478342,0.00643751,0.00530931,0.003676693,0.024772852,0.06309784,0.148517427,0.187589444
North Korea,0.297419056,0.20551372,0.219981889,0.235925462,0.256313021,0.280258518,0.297419056,0.312834183,0.381905362
Portugal,0.187146259,0.207444624,0.206993361,0.198070815,0.19206863,0.189912262,0.187146259,0.19070296,0.197589146
Paraguay,0.014338894,0.002808029,0.003462498,0.004310569,0.005569089,0.008535735,0.014338894,0.018112818,0.025496885
Palestine,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0
Romania,0.151547731,0.151934852,0.152394341,0.149838637,0.154840108,0.152570106,0.151547731,0.150367168,0.157298514
Russia,0.220742421,0.112489841,0.13399151,0.141932406,0.17386034,0.196742591,0.220742421,0.239525906,0.258193983
Rwanda,0.138843191,0.067910269,0.069547818,0.074801315,0.097893568,0.13848135,0.138843191,0.142426188,0.124736863
Western Sahara,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0
Scarborough Reef,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,0,0,0,0,0,0,0,0,0
South Sudan,0.002839603,0.003145182,0.003133741,0.00310164,0.002949216,0.002877336,0.002839603,0.002736745,0.002647484
Senegal,0,0,0,0,0,0,0,0,0
Serranilla Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,0.118328266,0.350320429,0.309119552,0.256343186,0.23493357,0.178214177,0.118328266,0.051779289,0.039148401
South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0
Solomon Islands,0.008632115,0.002877532,0.003125767,0.003394938,0.003976921,0.005170592,0.008632115,0.014674248,0.026073407
Sierra Leone,0.129593888,0.02773226,0.041235959,0.060855992,0.085373327,0.105661733,0.129593888,0.15571876,0.137160479
El Salvador,0.290048084,0.516789312,0.507209776,0.468549786,0.392904069,0.381662166,0.290048084,0.255632785,0.215229044
San Marino,0,0,0,0,0,0,0,0,0
Somaliland,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0
Republic of Serbia,0.042715826,0.054285229,0.051581154,0.047265877,0.040951699,0.039934462,0.042715826,0.059002089,0.060796185
Sao Tome and Principe,0,0,0,0,0,0,0,0,0
Suriname,0.003523075,0.000716646,0.000872836,0.001147698,0.001801211,0.002784355,0.003523075,0.003949256,0.005981492
Slovakia,0.427558276,0.446446938,0.442583099,0.440276554,0.433794185,0.415313803,0.427558276,0.426342233,0.490639938
Slovenia,0.654003488,0.533376624,0.545642466,0.555604555,0.584022398,0.630817077,0.654003488,0.741136398,0.772881331
Sweden,0.737132996,0.411038279,0.489220415,0.567603049,0.644686936,0.726629416,0.737132996,0.740738497,0.741825265
Swaziland,0.010202392,0.00265663,0.002759842,0.003321107,0.002728507,0.002226684,0.010202392,0.012677784,0.012989803
Sint Maarten,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0
Syria,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0
Thailand,0.103175187,0.033485871,0.044687952,0.060659306,0.080002038,0.095062922,0.103175187,0.122290684,0.126433852
Tajikistan,0.211977834,0.152948205,0.158223111,0.171309721,0.203303426,0.215190318,0.211977834,0.202702961,0.194165985
Turkmenistan,0,0,0,0,0,0,0,0,0
East Timor,0.074907202,0.002755573,0.004610444,0.013828973,0.030544065,0.0381836,0.074907202,0.099053714,0.10578239
Tonga,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0.197274054,0.025012057,0.039239838,0.05612272,0.104836554,0.175664845,0.197274054,0.240589835,0.268537484
Tunisia,0,0,0,0,0,0,0,0,0
Turkey,0.031118811,0.047662838,0.045507641,0.04268467,0.036681936,0.031916461,0.031118811,0.029390328,0.031037686
Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,0.092847555,0.045507681,0.050636905,0.058871899,0.070136747,0.080668278,0.092847555,0.097188265,0.10747858
United Republic of Tanzania,0.029736464,0.012603355,0.012752398,0.013554387,0.0158076,0.021822542,0.029736464,0.040867899,0.045606294
Uganda,0.02885112,0.017116891,0.017715844,0.021292916,0.029319564,0.032067544,0.02885112,0.025724069,0.019392719
Ukraine,0.017001953,0.017494728,0.017790584,0.018037307,0.017006385,0.01678252,0.017001953,0.017618559,0.019659826
United States Minor Outlying Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,0.028753666,0.004466175,0.005503699,0.006066119,0.005407891,0.015528762,0.028753666,0.044573495,0.061069365
United States of America,0.145207144,0.032083933,0.062206617,0.090230608,0.106961041,0.127026505,0.145207144,0.165933753,0.180887824
US Naval Base Guantanamo Bay,0,0,0,0,0,0,0,0,0
Uzbekistan,0.007660407,0.010533389,0.010314427,0.010065425,0.009149632,0.007894877,0.007660407,0.007045671,0.007183055
Vatican,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0
Venezuela,0.024313541,0.015009476,0.01629471,0.017352368,0.022199045,0.024585099,0.024313541,0.026091633,0.028734878
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States Virgin Islands,0,0,0,0,0,0,0,0,0
Vietnam,0.244676793,0.143005706,0.159442558,0.189328806,0.207511215,0.218869728,0.244676793,0.259174577,0.25593293
Vanuatu,0.004042857,0.003224319,0.003331485,0.003410054,0.003288987,0.003371628,0.004042857,0.005236008,0.008519542
Wallis and Futuna,0,0,0,0,0,0,0,0,0
Akrotiri Sovereign Base Area,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0
South Africa,0.001877264,0.003376727,0.00288088,0.002279205,0.001470611,0.001643347,0.001877264,0.001692826,0.001989807
Zambia,0.021149486,0.00674321,0.00818053,0.010176527,0.01460568,0.017636516,0.021149486,0.02596943,0.032052056
Zimbabwe,0.006064415,0.005513161,0.006167864,0.006629813,0.006437176,0.006300458,0.006064415,0.005428711,0.00502595
